property_id,item_id,item_name
739076,4917,X 2021/2022 Refer a Friend $500
739076,4879,X 2021/2022 - No Visa Waivers
739076,4792,X 2021/2022 - $200 Gift Card NOW when you Renew
739076,4720,X 6 Month Short Term Lease
739076,4749,X - 2020/2021 - Sign a Lease & Get 2 Months Free
739076,4946,X 2021/2022 1 Month Free
739076,4721,X 9 Month Short Term Lease
739076,4863,"X 2021/2022 $1,000 Gift Card"
739076,5034,Group of 10
739076,5035,Group of 10+
739076,4994,X 2021/2022 - $1500 Gift Card
739076,4847,X 2021/2022 $500 Gift Card
739076,5016,"22/23 $500 Gift Card, New"
739076,4827,"X 2021/2022 - Illini 4,000 - Cancer Research Charity"
739076,4734,X - 2020/2021 - Now & Later Special
739076,4709,X - 2020/2021 - Pick Your Perk
739076,5113,22/23 $150 Gift Card - National Signing Day
739076,5139,22/23 $250 Gift Card - Group 4
739076,5145,22/23 $500 Gift Card - Group 7
739076,5153,22/23 $500 Gift Card - Group 11
739076,5154,22/23 $500 Gift Card - Group 12
739076,5023,"22/23 $1,000 Gift Card, Renewal"
739085,4908,X 2021/2022 1/2 Month Free for 11 month leases
739085,4821,X 2021/2022 Special - 1 Month Free
739085,4878,X 2021/2022 - No Visa Waivers
739085,5117,22/23 $150 Gift Card - National Signing Day
739079,4828,"X 2021/2022 - Illini 4,000 - Cancer Research Charity"
739079,5157,22/23 $500 Gift Card - Group 6
739079,4880,X 2021/2022 No Visa Waivers
739079,4750,X 2020/2021 - 2 Months Free
739079,4735,X - 2020/2021 - Now & Later Special
739079,4707,X - 2020/2021 - One Month Free
739079,4723,X 9 Month Short Term Lease
739079,4683,X - 2020/2021 - Welcome Back Special
739079,4907,"X 21/22 - $1,000 Gift Card & 1/2 Off Parking"
739079,5036,Group of 10
739079,4793,X 2021/2022 - $200 Gift Card NOW when you Renew
739079,5037,Group of 10+
739079,4722,X 6 Month Short Term Lease
739079,4947,X 2021/2022 1 Month Free
739079,4754,X 2021/2022 - $300 Gift Card
739079,4918,X 2021/2022 Refer a Friend $500
739079,5017,"22/23 $500 Gift Card, New"
739079,4635,X - 2020/2021 Renewal Promotion
739079,5114,22/23 $150 Gift Card - National Signing Day
739079,5140,22/23 $250 Gift Card - Group 5
739079,5146,22/23 $500 Gift Card - Group 7
739079,5152,22/23 $500 Gift Card - Group 11
739079,5150,22/23 $500 Gift Card - Group 10
739079,5022,"22/23 $1,000 Gift Card, Renewal"
739080,4708,X - 2020/2021 - Half Month Free
739080,4685,X - 2020/2021 - Welcome Back Special
739080,4724,X 6 Month Short Term Lease
739080,4725,X 9 Month Short Term Lease
739080,4794,X 2021/2022 - $200 Gift Card NOW when you Renew
739080,4736,X - 2020/2021 - Now & Later Special
739080,4751,X - 2020/2021 - 2 Months Free
739080,4848,X 2021/2022 $500 Gift Card
739080,4948,X 2021/2022 1 Month Free
739080,4829,"X 2021/2022 - Illini 4,000 - Cancer Research Charity"
739080,4870,"X 2021/2022 - One Time Special - $1,250 Gift Card"
739080,4919,X 2021/2022 Refer a Friend $500
739080,4993,"X 2021/2022 - $1,500 Gift Card"
739080,5038,Group of 10
739080,5039,Group of 10+
739080,4862,"X 2021/2022 $1,000 Gift Card"
739080,4890,"X 2021/2022 - $1,250 Look & Lease"
739080,4968,X 2021/2022 - 2 Months Free
739080,5018,"22/23 $500 Gift Card, New"
739080,5137,22/23 $250 Gift Card - Group 2
739080,5141,22/23 $250 Gift Card - Group 5
739080,4636,X - 2020/2021 Renewal Promotion
739080,5115,22/23 $150 Gift Card - National Signing Day
739080,5138,22/23 $250 Gift Card - Group 3
739080,5142,22/23 $500 Gift Card - Group 6
739080,4753,X 2021/2022 - $300 Gift Card
739080,5184,22/23 $1000 Gift Card
739080,4881,X 2021/2022 - No Visa Waivers
739080,5147,22/23 $500 Gift Card - Group 8
739080,5148,22/23 $500 Gift Card - Group 10
739084,4637,X - 2020/2021 Renewal Promotion
739084,4893,"X 21/22 48 Hour $1,500 Gift card Special"
739084,4727,X 9 Month Short Term Lease
739084,4710,X - 2020/2021 - Pick Your Perk
739084,4726,X 6 Month Short Term Lease
739084,4795,X 2021/2022 - $200 Gift Card NOW when you Renew
739084,4737,X - 2020/2021 - Now & Later Special
739084,4752,X - 2020/2021 - 2 Months Free
739084,5083,"22/23 $500 Gift Card, Renewals"
739084,4849,X 2021/2022 $500 Gift Card
739084,4830,"X 2021/2022 - Illini 4,000 - Cancer Research Charity"
739084,4861,"X 2021/2022 $1,000 Gift Card"
739084,4958,X 2021/2022 - 2 Months Free
739084,4949,X 2021/2022 1 Month Free
739084,4920,X 2021/2022 Refer a Friend $500
739084,5040,Group of 10
739084,5041,Group of 10+
739084,5019,"22/23 $500 Gift Card, New"
739084,5116,22/23 $150 Gift Card - National Signing Day
739084,5179,22/23 $250 Gift Card
739084,5020,"22/23 $1,000 Gift Card, Renewal"
739084,4684,X - 2020/2021 - Welcome Back Special
739084,4882,X 2021/2022 - No Visa Waivers
641240,4606,X - 2020/2021 Special: $500 Look N Lease
641240,4855,X - 2021/2022 - $200 Pick Your Perk
641240,4738,X - 2020/2021 Special: $250 Now and $250 Later
641240,4599,X - 2019/2020 Special: One Month Free New Lease Special Sign By 5/31/19
641240,4969,X - 2021/2022  2 months free
641240,4873,X - 2021/2022  $500 Pick your Perk
641240,4858,X - 2021/2022 - Fill a Fridge $400 GC
641240,4970,X - 2021/2022  - Best Rate Guarantee & $200 Gift Card
641240,5112,22/23 MiniFridge
641240,4942,X - 2021/2022  Lunch On Us
641240,4872,X - 2021/2022  Free Month of Rent
641240,4602,X - 2021/2022 - Refer A Friend Promotion
641240,5098,22/23 B1 Renewal - $840 Gift Card
641240,5131,22/23 B1 & C1 Study $500 Gift Card
641240,5099,"22/23 D1 Balcony Renewal - $1,080 Gift Card"
641240,5132,"22/23 D1 Balcony, D2, D3 $1,000 Gift Card"
641240,5100,"22/23 D2 Renewal - $1,212 Gift Card"
641240,5133,"22/23 B1 SemiShared or D3 SemiShared $1,000 Gift Card"
641240,5101,"22/23 D3 Renewal - $1,152 Gift Card"
641240,5118,22/23 $150 Gift Card - National Signing Day
641240,5207,22/23 Pick Your Perk $500 Gift Card
641240,5208,"22/23 Pick Your Perk $1,000 Gift Card"
676055,5234,22/23 $800 Gift Card
676055,4805,XX 2021/2022 $400 Gift Card
676055,5095,22/23 $100 Gift Card by 1/16
676055,5235,22/23 $300 24Hr Look & Lease
676055,4886,"X - 2021/2022 Free Rent D1, D1 Balcony, D2"
676055,4746,X - 2020/2021 Special: $200 Refer a Friend Gift Card
676055,4745,X - 2020/2021 Special: Smart TV
676055,4732,X - 2020/2021 Special: Pick Your Perk
676055,5081,22/23 $660 Gift Card
676055,4757,X - 2020/2021 Special: Airpod Pro
676055,4748,X - 2020/2021 Special: Smart Watch
676055,4691,X - 2020/2021 Special: One Day Signing Event
676055,4774,X - $100 Gift Card for First 30 Leases
676055,5102,22/23 $100 Gift Card by 1/22
676055,4776,X - 1. 2021/2022 Smart TV Give Away
676055,4782,X - 2021/2022 - Black Friday Sale - Appliances
676055,4660,X - 1.Pick Your Perk Signing Promotion
676055,5068,22/23  $250 Renewal Gift Card
676055,4961,X - 2021/2022 06/2021 $500 Gift Card & 2 Months Free Rent
676055,4687,X - 2.Lease Promotion
676055,4911,X - 2021/2022 $200 Fill Your Unit
676055,4925,X - 2021/2022 $500 Gift Card
676055,5087,22/23 $150 Gift Card - Best Buy or Home Goods
